name,command,bytes_recv,bytes_sent,user_time,cpu_time,total_time,max_memory_usage,return_code
set_config,python -m conda config --set plugins.use_sharded_repodata true,260,0,0.0,0.0,502864459,290816,0
conda_create_conda_forge_sharded_cold_python,python scripts/sharded_repodata_fetching.py conda-forge-sharded python,1368331,74859,0.31,0.13,2513378543,98258944,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,507334917,290816,0
conda_create_conda_forge_sharded_cold_python,python scripts/sharded_repodata_fetching.py conda-forge-sharded python,1372451,79947,0.25,0.07,2016587501,96415744,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,502706334,290816,0
conda_create_conda_forge_sharded_cold_python,python scripts/sharded_repodata_fetching.py conda-forge-sharded python,1374826,80517,0.31,0.06,2018796334,97542144,0
conda_create_conda_forge_sharded_warm_python,python scripts/sharded_repodata_fetching.py conda-forge-sharded python,0,0,0.29,0.03,1012060792,100384768,0
conda_create_conda_forge_sharded_warm_python,python scripts/sharded_repodata_fetching.py conda-forge-sharded python,0,0,0.0,0.0,509874375,290816,0
conda_create_conda_forge_sharded_warm_python,python scripts/sharded_repodata_fetching.py conda-forge-sharded python,0,0,0.0,0.0,505692417,290816,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,506991750,290816,0
conda_create_conda_forge_sharded_cold_datascience,python scripts/sharded_repodata_fetching.py conda-forge-sharded pandas plotly scipy,2079803,171570,0.54,0.11,4032513334,123105280,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,509011333,290816,0
conda_create_conda_forge_sharded_cold_datascience,python scripts/sharded_repodata_fetching.py conda-forge-sharded pandas plotly scipy,2077582,163452,0.51,0.15,3026198418,110370816,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,504287833,0,0
conda_create_conda_forge_sharded_cold_datascience,python scripts/sharded_repodata_fetching.py conda-forge-sharded pandas plotly scipy,2074170,165168,0.44,0.14,3022878877,111390720,0
conda_create_conda_forge_sharded_warm_datascience,python scripts/sharded_repodata_fetching.py conda-forge-sharded pandas plotly scipy,0,0,0.3,0.03,1007246667,127909888,0
conda_create_conda_forge_sharded_warm_datascience,python scripts/sharded_repodata_fetching.py conda-forge-sharded pandas plotly scipy,0,0,0.31,0.03,1016756459,126926848,0
conda_create_conda_forge_sharded_warm_datascience,python scripts/sharded_repodata_fetching.py conda-forge-sharded pandas plotly scipy,0,0,0.31,0.02,1011149542,122589184,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,507437833,139264,0
set_config,python -m conda config --set plugins.use_sharded_repodata false,0,0,0.0,0.0,504634625,290816,0
conda_create_conda_forge_cold_python,python scripts/sharded_repodata_fetching.py conda-forge python,73753275,1095710,14.45,8.21,66714287531,1740124160,0
clean,python -m conda clean --all --yes,0,0,0.27,0.2,1006926875,70848512,0
conda_create_conda_forge_cold_python,python scripts/sharded_repodata_fetching.py conda-forge python,73271896,716456,14.03,5.35,63158611696,1743065088,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,505124208,135168,0
conda_create_conda_forge_cold_python,python scripts/sharded_repodata_fetching.py conda-forge python,73806630,1161098,14.46,5.7,65173548280,1726447616,0
conda_create_conda_forge_warm_python,python scripts/sharded_repodata_fetching.py conda-forge python,42,42,9.28,2.37,12082366838,1739096064,0
conda_create_conda_forge_warm_python,python scripts/sharded_repodata_fetching.py conda-forge python,0,0,8.62,2.1,11082085297,1712926720,0
conda_create_conda_forge_warm_python,python scripts/sharded_repodata_fetching.py conda-forge python,0,0,8.67,2.09,11111861797,1722789888,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,507497625,290816,0
conda_create_conda_forge_cold_datascience,python scripts/sharded_repodata_fetching.py conda-forge pandas plotly scipy,73908771,1239854,13.49,5.83,76799561077,1730027520,0
clean,python -m conda clean --all --yes,0,0,0.0,0.0,507304959,290816,0
conda_create_conda_forge_cold_datascience,python scripts/sharded_repodata_fetching.py conda-forge pandas plotly scipy,73514889,891422,14.01,5.28,62688626780,1715359744,0
clean,python -m conda clean --all --yes,0,0,0.29,0.2,1015560625,72355840,0
conda_create_conda_forge_cold_datascience,python scripts/sharded_repodata_fetching.py conda-forge pandas plotly scipy,73379849,821108,13.05,4.91,62226008153,1732538368,0
conda_create_conda_forge_warm_datascience,python scripts/sharded_repodata_fetching.py conda-forge pandas plotly scipy,0,0,8.23,1.43,10090965546,1739976704,0
conda_create_conda_forge_warm_datascience,python scripts/sharded_repodata_fetching.py conda-forge pandas plotly scipy,0,0,8.0,1.05,9593916296,1733132288,0
conda_create_conda_forge_warm_datascience,python scripts/sharded_repodata_fetching.py conda-forge pandas plotly scipy,0,0,8.1,0.92,9582604338,1716285440,0
