name,command,bytes_recv,bytes_sent,user_time,cpu_time,total_time,max_memory_usage,return_code
conda_create_conda_forge_sharded_cold_python,python scripts/sharded_repodata_rattler.py conda-forge-sharded python,1705140,20639,0.19,0.18,1535624542,63315968,0
clean,python scripts/rattler_clean_cache.py,42,42,0.0,0.0,506716167,290816,0
conda_create_conda_forge_sharded_cold_python,python scripts/sharded_repodata_rattler.py conda-forge-sharded python,1705980,18717,0.19,0.31,1524282417,63672320,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,510319126,1024000,0
conda_create_conda_forge_sharded_cold_python,python scripts/sharded_repodata_rattler.py conda-forge-sharded python,1705433,19191,0.09,0.07,1005174959,56471552,0
conda_create_conda_forge_sharded_warm_python,python scripts/sharded_repodata_rattler.py conda-forge-sharded python,42,42,0.0,0.0,502522042,446464,0
conda_create_conda_forge_sharded_warm_python,python scripts/sharded_repodata_rattler.py conda-forge-sharded python,0,0,0.0,0.0,503384042,290816,0
conda_create_conda_forge_sharded_warm_python,python scripts/sharded_repodata_rattler.py conda-forge-sharded python,0,0,0.0,0.0,503959625,290816,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,505684751,135168,0
conda_create_conda_forge_sharded_cold_datascience,python scripts/sharded_repodata_rattler.py conda-forge-sharded pandas plotly scipy,3020606,45086,0.35,0.59,2015636918,127528960,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,506968041,290816,0
conda_create_conda_forge_sharded_cold_datascience,python scripts/sharded_repodata_rattler.py conda-forge-sharded pandas plotly scipy,3018069,44184,0.13,0.12,1008201042,70250496,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,504199292,278528,0
conda_create_conda_forge_sharded_cold_datascience,python scripts/sharded_repodata_rattler.py conda-forge-sharded pandas plotly scipy,3020108,45152,0.27,0.17,1509213334,149561344,0
conda_create_conda_forge_sharded_warm_datascience,python scripts/sharded_repodata_rattler.py conda-forge-sharded pandas plotly scipy,0,0,0.0,0.0,504367542,282624,0
conda_create_conda_forge_sharded_warm_datascience,python scripts/sharded_repodata_rattler.py conda-forge-sharded pandas plotly scipy,0,0,0.0,0.0,502348583,131072,0
conda_create_conda_forge_sharded_warm_datascience,python scripts/sharded_repodata_rattler.py conda-forge-sharded pandas plotly scipy,0,0,0.0,0.0,506790501,290816,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,507030750,135168,0
conda_create_conda_forge_cold_python,python scripts/sharded_repodata_rattler.py conda-forge python,72969316,203403,3.57,3.64,12538100965,417513472,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,507179666,290816,0
conda_create_conda_forge_cold_python,python scripts/sharded_repodata_rattler.py conda-forge python,72965535,202415,3.27,2.84,12539792213,628449280,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,510460917,446464,0
conda_create_conda_forge_cold_python,python scripts/sharded_repodata_rattler.py conda-forge python,72970621,204878,3.27,2.57,12035439547,489250816,0
conda_create_conda_forge_warm_python,python scripts/sharded_repodata_rattler.py conda-forge python,0,0,0.75,0.07,1008365334,244006912,0
conda_create_conda_forge_warm_python,python scripts/sharded_repodata_rattler.py conda-forge python,0,0,0.73,0.08,1008646958,267554816,0
conda_create_conda_forge_warm_python,python scripts/sharded_repodata_rattler.py conda-forge python,0,0,0.75,0.06,1005922084,275742720,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,509553167,290816,0
conda_create_conda_forge_cold_datascience,python scripts/sharded_repodata_rattler.py conda-forge pandas plotly scipy,72960378,200105,3.58,2.64,12534243714,404897792,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,504619292,290816,0
conda_create_conda_forge_cold_datascience,python scripts/sharded_repodata_rattler.py conda-forge pandas plotly scipy,72957873,196498,3.29,2.68,12535169797,563564544,0
clean,python scripts/rattler_clean_cache.py,0,0,0.0,0.0,508682250,290816,0
conda_create_conda_forge_cold_datascience,python scripts/sharded_repodata_rattler.py conda-forge pandas plotly scipy,72964625,202041,3.25,2.61,12537340339,472772608,0
conda_create_conda_forge_warm_datascience,python scripts/sharded_repodata_rattler.py conda-forge pandas plotly scipy,0,0,1.32,0.1,1513415626,723787776,0
conda_create_conda_forge_warm_datascience,python scripts/sharded_repodata_rattler.py conda-forge pandas plotly scipy,0,0,1.29,0.12,1511822376,718811136,0
conda_create_conda_forge_warm_datascience,python scripts/sharded_repodata_rattler.py conda-forge pandas plotly scipy,0,0,1.3,0.11,1511853251,720183296,0
